node	species	ancestor	time
1			0.0
2		1.0	0.2
3		2.0	0.25
4		3.0	0.372
5		3.0	0.321664
6		5.0	0.345328
7		6.0	0.36592100000000005
8		6.0	0.356999
9		7.0	0.36792100000000005
10		7.0	0.388913
11		8.0	0.37699900000000003
12		9.0	0.440531
13		11.0	0.38699900000000004
14	Lamprey	1.0	0.975747
15	Zebrafish	2.0	0.630752
16	Lizard	4.0	0.819
17	Chicken	4.0	0.413254
18	Opossum	5.0	0.44735
19	Ferret	8.0	0.406999
20	Chinese_tree_shrew	9.0	0.5428580000000001
21	Squirrel	10.0	0.514381
22	Mouse	10.0	0.473422
23	Pig	11.0	0.496999
24	Human	12.0	0.447081
25	Marmoset	12.0	0.47053100000000003
26	Cow	13.0	0.486999
27	Sheep	13.0	0.436999
